"('sharicedavids', 'voteforeducation')",1
"('VP', 'JoinTheTurnaround')",2
"('RelevateCEO', 'Clemson')",1
"('LouDobbs', 'TrumpRussia')",1
"('StittforGov', 'DemocratsAreDangerous')",1
"('JusticeOIG', 'BureaucraticCoup')",1
"('rcurtis808', 'MakeHawaiiGreatAgain')",31
"('sharicedavids', 'VoteShariceDavids')",2
"('StittforGov', 'StittforOklahoma')",1
"('KBTCtv', 'waelex')",2
"('sharicedavids', 'Vote2018')",1
"('sharicedavids', 'Progressives')",1
"('sharicedavids', 'RepubliKKKan')",1
"('sharicedavids', 'CorruptGOP')",1
"('sharicedavids', 'CON_ARTISTS')",1
"('TwitterSupport', 'Bot')",1
"('IlhanMN', 'DHSFundingBill')",1
"('staceyabrams', 'MAGA')",1
"('Morse4America', 'FL26')",4
"('StittforGov', 'Re')",1
"('keithellison', 'mngov')",1
"('SenatorKelly', 'GunSense')",1
"('Amy_Siskind', 'Kansas')",1
"('alzassociation', 'MisogynistTrump')",1
"('joeradinovich', 'shocker')",1
"('KING5Seattle', 'BlueWave')",1
"('PauletteEJordan', 'GOVdebate')",1
"('JennyWilsonUT', 'utpol')",2
"('Deb4CongressNM', 'RealPatriotsVoteBlue')",1
"('LadyAnon5', 'FlipItBlueVote4Drew')",1
"('PolitixFireball', 'nmpol')",2
"('TrahantReports', 'NativeVote18')",3
"('Topsi1208', 'TeamAbrams')",1
"('RepMullin', 'termlimits')",1
"('jarrodagen', 'redwave')",1
"('chuckwoolery', 'ProgressiveSocialism')",1
"('ELINTNews', 'US')",1
"('SenateDems', 'MAGA')",2
"('Michelle4NM', 'MSSen')",1
"('utahhousedems', 'justsayNO')",1
"('MSNBC', 'NewMexico')",1
"('StittforGov', 'RedTsunami')",7
"('mikewickett', 'VoteBLUE')",1
"('PippaLeeson', 'guatemala')",1
"('LukePollard', 'annialbers')",1
"('RepMullin', 'SaferRoadsSaveLives')",1
"('Deb4CongressNM', 'VoteBlueToStopRussia')",1
"('Tim_Walz', 'LaborKnock')",1
"('PauletteEJordan', 'staceyabrams2018')",1
"('BenMcAdams', 'CD3')",1
"('TameraKirkwood', 'UsaFriends')",1
"('LucyYang7', 'paid')",1
"('peggyflanagan', 'MNDFL')",1
"('PauletteEJordan', 'WHODOYOU')",1
"('Susan4Senate', 'VoteRedToSaveAmerica')",2
"('SenatorKelly', 'VoteBlue')",1
"('Deb4CongressNM', 'IndigenousPeoplesDay')",4
"('Moonwake', 'TrumpIsALiar')",1
"('GOP', 'Winning')",1
"('MattKleinSD52', 'dollarajoint')",1
"('Tim_Walz', 'WalkAway')",1
"('sharicedavids', 'lovejanelle')",1
"('DrKimSchrier', '2018Election')",1
"('TBN', 'LiberalismIsAMentalDisease')",1
"('Scholten4Iowa', 'VoteBlueToSaveAmericanDemocracy')",2
"('WAGOP', 'WAState')",1
"('PauletteEJordan', 'VoteBlue')",20
"('Ocasio2018', 'HR392')",1
"('BrandiKruse', 'misleading')",1
"('Rabidpartyparot', 'Washington')",1
"('NRA', '2A')",1
"('realDonaldTrump', 'drew4ok')",1
"('StittforGov', 'DEM')",1
"('SenatorKelly', 'VoteDem')",1
"('sharicedavids', 'FlipKS03')",1
"('Sebelius', 'KCMO')",1
"('sharicedavids', 'TrumpSupporters')",1
"('MarkTrahant', 'SheRepresents')",1
"('agrifoodsa', 'food')",1
"('RoxyNeko', 'HawaiiMidTerms')",1
"('sharicedavids', 'ImWithHer')",1
"('iupat82', 'mngov')",1
"('Deb4CongressNM', 'NMDEMs')",1
"('thejohnfleming', 'chum')",1
"('HouseGOP', 'VoteRedToSaveAmerica')",2
"('jeffsessions', 'DeclassifyFISA')",1
"('HD21Liz', 'VoteBlue')",10
"('thedailybeast', 'FightForAloha')",1
"('peggyflanagan', 'StandOnEveryCorner')",1
"('peggyflanagan', 'GOTV')",3
"('sharicedavids', 'ElectionResults2018')",2
"('BretStephensNYT', 'DNC')",1
"('JRubinBlogger', 'TrumpRussia')",1
"('UsaIowa', 'treason')",1
"('AdaDemocrats', 'MedicaidExpansion')",1
"('Kelly4SouthrnIL', 'KS03')",1
"('iupat82', 'labor18')",1
"('JoeBiden', 'ksleg')",2
"('Albumism', 'independentartist')",1
"('GarciaHolmes4NM', 'nmdems')",1
"('StittforGov', 'business')",1
"('journalsentinel', 'Bahamas')",1
"('VP', 'dontcaliforniamyoklahoma')",1
"('DinoRossiWA', 'BlueWave')",1
"('mikeyBcards', 'GoBucs')",1
"('GOP', 'corrupt')",1
"('stollkc', 'KS03')",1
"('DamionHitchcock', 'BlueTsunami')",1
"('EducationMN', '1u')",1
"('NewMexicoGOP', 'abqjournal')",1
"('SenatorKelly', 'lovejanelle')",1
"('PauletteEJordan', 'BonnevilleCounty')",1
"('JohnFugelsang', 'Trumpganda')",1
"('StittforGov', '25thAmendment')",1
"('GarciaHolmes4NM', 'nm')",1
"('PauletteEJordan', 'idgov')",1
"('StittforGov', 'oklaed')",3
"('SEXYCAPRICORN74', 'walkaway')",1
"('PopSci', 'SouthDakota')",1
"('MSNBC', 'Albuquerque')",1
"('peggyflanagan', 'IndigenousPink')",1
"('BlueWaveCS', 'FlipTheSenate')",1
"('clairecmc', 'fallingstar')",1
"('NMSOSMaggie', 'vote')",1
"('sharicedavids', 'kevinyoder')",1
"('DrewForOklahoma', 'Oklahoma')",6
"('EDFaction', 'NM02')",1
"('Deb4CongressNM', 'VoteRed')",1
"('RepFrankLucas', 'VoteStitt')",1
"('IlhanMN', 'voting')",1
"('worldackermann', 'LIVMCI')",1
"('votetupola', 'Midterms')",1
"('Tim_Walz', 'MNgov')",1
"('ProkopDani', 'congressional')",1
"('shawmissionpost', 'KS03')",1
"('Deb4CongressNM', 'ABQ')",3
"('RepNewhouse', 'Washington')",4
"('MickCornett', 'OklahomaVoteRed')",3
"('PamforAuditor', 'Minnesotan')",1
"('Yvette4congress', 'FamilySeparation')",1
"('realDonaldTrump', 'GOTV')",1
"('amyklobuchar', 'VoteBlue')",1
"('tedcruz', 'JobsNotMobs')",1
"('RabbiJill', 'Trumpganda')",1
"('jay4ma', 'DESen')",1
"('JonathanWax123', 'Pete2020')",1
"('adriandt31', 'IceAtThePolls')",1
"('urbannavajo', 'loser')",1
"('KansasDems', 'BlueWave')",1
"('sharicedavids', 'voterguide')",1
"('power2she', 'Cult45')",1
"('PittmanForLtGov', 'Okla')",1
"('USATODAY', 'Trumpaganda')",3
"('foxandfriends', 'followrealjoesmoke')",1
"('PauletteEJordan', 'MMIWG')",1
"('candicehoyes', 'QCC_CUNY')",1
"('HarleyRouda', 'IL14')",1
"('PauletteEJordan', 'cantstopwontstop')",1
"('ClaraJeffery', 'MOSen')",1
"('PriestleyFW', 'food')",1
"('RepKevinYoder', 'HR392')",1
"('SenWarren', 'Democrats')",1
"('TheLeadCNN', 'Trumpganda')",1
"('IdahoResistance', 'Idaho')",1
"('3M', 'MFGDay18')",1
"('Deb4CongressNM', 'Ishi')",1
"('OSEA6732', 'Vote')",1
"('Susan_Hutch', 'Vote')",1
"('Right2Arms', 'Hawaii')",1
"('DrKimSchrier', 'DayAfter')",1
"('peggyflanagan', 'MNkids')",1
"('HD21Liz', 'grabembythemidterms')",1
"('JoeBiden', 'TakeitBack')",1
"('StittforGov', 'Winning')",2
"('GOP', 'MOB')",1
"('urbannavajo', 'utah')",2
"('sharicedavids', 'VoteBlueKS')",1
"('rcurtis808', 'WalkAway')",1
"('jbeckerfinn', 'NoFossilFuelMoney')",2
"('HopeforVirginia', 'nmpol')",1
"('peggyflanagan', 'MEAmn18')",1
"('warriors', 'NBA')",1
"('jlbakermusic', 'follow')",1
"('sharicedavids', 'ShariceDavids')",4
"('sharicedavids', 'IL12')",1
"('RepMarkMeadows', 'DrainTheSwamp')",1
"('KevinYoder', 'BlueTsunami2018')",1
"('AdajosFit', 'KS03')",1
"('washdems', 'GOTV')",1
"('KnuteBuehler', 'orpol')",1
"('HillaryClinton', 'Trumpganda')",2
"('sharicedavids', 'ShariceDavids4Kanas')",1
"('Boisestate_FCI', 'Democracy')",1
"('thomastrehus', 'VoteDFL')",1
"('Deb4CongressNM', 'RedWave')",1
"('DinoRossiWA', 'taxscam')",1
"('DonaldJTrumpJr', 'KeepOklahomaStupid')",1
"('DrKimSchrier', 'WA08')",47
"('LtGovBradLittle', 'idedu')",2
"('HRC', 'KS03')",1
"('dccc', 'NationalComingOutDay')",1
"('seanhannity', 'MidTerms')",1
"('sharicedavids', 'TAIRP')",1
"('PauletteEJordan', 'ThatConstitutionIsNotGoingToUpholdItsSelf')",1
"('KevinYoder', 'Obamacare')",1
"('HowardAD_KD', 'HBCU')",1
"('joeradinovich', 'MobilizeNonVoters')",1
"('TheAceCentre', 'Sherlock')",1
"('camcavasso', 'Hi808')",1
"('jimsciutto', 'Trumpganda')",2
"('PaulDavisKS', 'KS03')",1
"('PoliticallyGa', 'TrumpRussia')",1
"('SenatorKelly', 'VotingRights')",1
"('SorensonUC', 'ournow')",1
"('CWAUnion', '1u')",1
"('VictoriaLSteele', 'socialmedia')",1
"('PramilaJayapal', 'PaidFamilyLeave')",1
"('Yvette4congress', 'BeVigilant')",1
"('MickCornett', 'BLUEWAVE')",1
"('JamesMArcher', 'Reps')",1
"('latinosinacti0n', 'glendalepride')",1
"('Michelle4NM', 'VOTE4MICHELLELUJANGRISHAM')",1
"('mkraju', 'TrumpRussia')",1
"('SeaTimesOpinion', 'WA08')",1
"('InhofePress', 'kavanaugh')",1
"('PauletteEJordan', 'IVotedEarly')",1
"('HouseCommerce', 'SAFEAct')",1
"('MichaelAvenatti', 'TrumpRussia')",1
"('peggyflanagan', 'positivity')",1
"('PauletteEJordan', 'Idahome')",2
"('MELANIATRUMP', 'Trumpaganda')",1
"('brendanorrell', 'FAITHSPOTTEDEAGLE')",1
"('elizabethforma', 'takeadnatest')",1
"('TVietor08', 'KS03')",1
"('TwitterSupport', 'TrumpRussia')",1
"('InhofePress', 'cbo')",1
"('josieO', 'Trumpaganda')",1
"('Lachiondo4Ada', 'idpol')",1
